Province,Election Point,RegisteredMale,RegisteredFemale,Total Registered Voters
"ACEH,831,""152,565"",""160,35"",""312,915"""
"BALI,""6,301"",""1,497,064"",""1,504,471"",""3,001,535"""
"BANTEN,""10,459"",""2,161,836"",""2,113,579"",""4,275,415"""
"BENGKULU,622,""115,732"",""118,051"",""233,783"""
"GORONTALO,515,""103,621"",""106,988"",""210,609"""
"JAMBI,""2,513"",""418,318"",""422,601"",""840,919"""
"JAWA BARAT,""74,942"",""15,941,296"",""15,767,034"",""31,708,330"""
"JAWA TENGAH,""63,974"",""13,621,444"",""13,727,434"",""27,348,878"""
"JAWA TIMUR,""67,646"",""14,960,270"",""15,425,469"",""30,385,739"""
"KALIMANTAN BARAT,""11,652"",""1,773,768"",""1,697,221"",""3,470,989"""
"KALIMANTAN SELATAN,""2,257"",""339,767"",""339,806"",""679,573"""
"KALIMANTAN TENGAH,""3,944"",""588,351"",""554,956"",""1,143,307"""
"KALIMANTAN TIMUR,""7,276"",""1,218,557"",""1,128,117"",""2,346,674"""
"KALIMANTAN UTARA,298,""68,448"",""64,705"",""133,153"""
"KEPULAUAN BANGKA BELITUNG,""1,316"",""228,094"",""222,27"",""450,364"""
"KEPULAUAN RIAU,317,""71,03"",""73,211"",""144,241"""
"LAMPUNG,15,""2,994,704"",""2,925,263"",""5,919,967"""
"MALUKU,""3,347"",""583,486"",""601,673"",""1,185,159"""
"MALUKU UTARA,""2,13"",""386,268"",""377,593"",""763,861"""
"NUSA TENGGARA BARAT,""8,335"",""1,742,829"",""1,802,277"",""3,545,106"""
"NUSA TENGGARA TIMUR,""9,666"",""1,511,060"",""1,568,843"",""3,079,903"""
"PAPUA,""8,623"",""1,726,582"",""1,524,465"",""3,251,047"""
"RIAU,""12,054"",""1,868,165"",""1,809,368"",""3,677,533"""
"SULAWESI BARAT,""1,283"",""204,539"",""207,48"",""412,019"""
"SULAWESI SELATAN,""17,13"",""2,877,244"",""3,050,345"",""5,927,589"""
"SULAWESI TENGAH,""1,716"",""298,245"",""284,58"",""582,825"""
"SULAWESI TENGGARA,""4,909"",""832,137"",""834,409"",""1,666,546"""
"SULAWESI UTARA,""1,539"",""298,652"",""291,849"",""590,501"""
"SUMATERA BARAT,""1,983"",""331,359"",""345,349"",""676,708"""
"SUMATERA SELATAN,""16,895"",""2,873,714"",""2,827,422"",""5,701,136"""
"SUMATERA UTARA,""27,465"",""4,559,668"",""4,643,299"",""9,202,967"""
